SpawnPoint_194726 | -162.316, 0.265, 91.947 | 0.000, 180.648, 0.000
SpawnPoint_194751 | -177.578, -2.935, 80.744 | 0.000, 59.798, 0.000
SpawnPoint_194803 | -150.992, -2.935, 72.483 | 0.000, 89.848, 0.000
SpawnPoint_194816 | -162.825, -2.121, 55.870 | 0.000, 55.898, 0.000
SpawnPoint_194832 | -143.707, -2.935, 29.041 | 0.000, 207.248, 0.000
SpawnPoint_194907 | -108.255, -2.835, 61.590 | 0.000, 89.447, 0.000
SpawnPoint_194919 | -115.899, -2.835, 63.054 | 0.000, 267.148, 0.000
SpawnPoint_194948 | -76.005, -1.486, 40.567 | 0.000, 229.447, 0.000
SpawnPoint_195013 | -44.349, 0.975, 89.936 | 0.000, 278.147, 0.000
SpawnPoint_195047 | -74.164, -2.935, 136.325 | 0.000, 358.447, 0.000
SpawnPoint_195056 | -86.361, -1.857, 123.532 | 0.000, 268.447, 0.000
SpawnPoint_195535 | -55.656, -3.025, 131.028 | 0.000, 356.596, 0.000
SpawnPoint_195558 | -43.792, 3.965, 157.114 | 0.000, 132.645, 0.000
SpawnPoint_195617 | -8.230, -3.020, 117.926 | 0.000, 267.945, 0.000
SpawnPoint_195627 | -12.906, 1.065, 95.376 | 0.000, 14.145, 0.000
SpawnPoint_195636 | -0.744, 1.165, 84.755 | 0.000, 29.495, 0.000
SpawnPoint_195644 | -12.058, 1.065, 69.271 | 0.000, 91.345, 0.000
SpawnPoint_195656 | -30.754, 1.065, 72.391 | 0.000, 358.194, 0.000
SpawnPoint_195704 | -43.032, 1.065, 50.583 | 0.000, 222.544, 0.000
SpawnPoint_195714 | -83.000, 0.290, 68.437 | 0.000, 289.044, 0.000
SpawnPoint_195729 | -128.433, -3.025, 76.738 | 0.000, 269.444, 0.000
SpawnPoint_195742 | -155.568, -3.025, 120.416 | 0.000, 79.193, 0.000
